"","trt_mo","abund_est","abund_SE","rich_est","rich_SE","trt","doy"
"1","bison 119",156.583333333333,102.054651713213,6.08333333333333,0.831943298315419,"bison","119"
"2","bison 140",1171.08333333333,179.624543538499,9.91666666666667,0.668085611159516,"bison","140"
"3","bison 161",845.583333333334,130.435553069367,9,0.793492049272215,"bison","161"
"4","bison 182",1211.75,170.498185760847,9.16666666666666,0.739118612839854,"bison","182"
"5","bison 203",2486.83333333333,542.87330171705,8.58333333333333,0.357989616688202,"bison","203"
"6","bison 224",1718.33333333333,510.509771142544,7.75,0.278660214511356,"bison","224"
"7","bison 244",463.666666666667,91.1955568617913,8.33333333333333,0.594588400584938,"bison","244"
"8","bison 266",641.083333333333,97.9466384481264,8.66666666666667,0.414387707005374,"bison","266"
"9","bison 294",15.5,5.3505876199524,3.08333333333333,0.528839973122037,"bison","294"
"10","bison 315",0.5,0.230283093235919,0.333333333333333,0.14213381090374,"bison","315"
"11","bison 336",0.166666666666667,0.166672700675723,0.0833333333333333,0.0833363503357187,"bison","336"
"12","cattle 119",81.6666666666667,13.4267560407486,5.25,0.494285526612081,"cattle","119"
"13","cattle 140",1397.91666666667,297.19345805666,8.08333333333334,0.478713561528834,"cattle","140"
"14","cattle 161",1142.58333333333,99.9198015577871,7,0.360041148417834,"cattle","161"
"15","cattle 182",1801.25,315.098207995251,7.58333333333333,0.416666311180796,"cattle","182"
"16","cattle 203",3148.08333333333,467.140502813326,6.58333333333335,0.643701699858307,"cattle","203"
"17","cattle 224",1448.41666666667,241.990643796136,6.75,0.284637519878071,"cattle","224"
"18","cattle 244",517.083333333333,73.435857224265,6.83333333333333,0.55277079938254,"cattle","244"
"19","cattle 266",507.5,114.765604339427,6.25,0.515949322140401,"cattle","266"
"20","cattle 294",15.6666666666667,3.52552023526925,3.5,0.645497317443525,"cattle","294"
"21","cattle 315",1,0.301511344577764,0.833333333333333,0.166666666666667,"cattle","315"
"22","cattle 336",0.0833333333333333,0.0833363503365293,0.0833333333333333,0.0833363503365293,"cattle","336"
