code,trt,transect,DOY
D_1_119,cattle,1,119
D_2_119,cattle,2,119
D_3_119,cattle,3,119
D_4_119,cattle,4,119
D_1_140,cattle,1,140
D_2_140,cattle,2,140
D_3_140,cattle,3,140
D_4_140,cattle,4,140
D_1_161,cattle,1,161
D_2_161,cattle,2,161
D_3_161,cattle,3,161
D_4_161,cattle,4,161
D_1_182,cattle,1,182
D_2_182,cattle,2,182
D_3_182,cattle,3,182
D_4_182,cattle,4,182
D_1_203,cattle,1,203
D_2_203,cattle,2,203
D_3_203,cattle,3,203
D_4_203,cattle,4,203
D_1_224,cattle,1,224
D_2_224,cattle,2,224
D_3_224,cattle,3,224
D_4_224,cattle,4,224
D_1_244,cattle,1,244
D_2_244,cattle,2,244
D_3_244,cattle,3,244
D_4_244,cattle,4,244
D_1_266,cattle,1,266
D_2_266,cattle,2,266
D_3_266,cattle,3,266
D_4_266,cattle,4,266
D_1_294,cattle,1,294
D_2_294,cattle,2,294
D_3_294,cattle,3,294
D_4_294,cattle,4,294
D_1_315,cattle,1,315
D_2_315,cattle,2,315
D_3_315,cattle,3,315
D_4_315,cattle,4,315
D_1_336,cattle,1,336
D_2_336,cattle,2,336
D_3_336,cattle,3,336
D_4_336,cattle,4,336
Z_1_119,bison,1,119
Z_2_119,bison,2,119
Z_3_119,bison,3,119
Z_4_119,bison,4,119
Z_1_140,bison,1,140
Z_2_140,bison,2,140
Z_3_140,bison,3,140
Z_4_140,bison,4,140
Z_1_161,bison,1,161
Z_2_161,bison,2,161
Z_3_161,bison,3,161
Z_4_161,bison,4,161
Z_1_182,bison,1,182
Z_2_182,bison,2,182
Z_3_182,bison,3,182
Z_4_182,bison,4,182
Z_1_203,bison,1,203
Z_2_203,bison,2,203
Z_3_203,bison,3,203
Z_4_203,bison,4,203
Z_1_224,bison,1,224
Z_2_224,bison,2,224
Z_3_224,bison,3,224
Z_4_224,bison,4,224
Z_1_244,bison,1,244
Z_2_244,bison,2,244
Z_3_244,bison,3,244
Z_4_244,bison,4,244
Z_1_266,bison,1,266
Z_2_266,bison,2,266
Z_3_266,bison,3,266
Z_4_266,bison,4,266
Z_1_294,bison,1,294
Z_2_294,bison,2,294
Z_3_294,bison,3,294
Z_4_294,bison,4,294
Z_1_315,bison,1,315
Z_2_315,bison,2,315
Z_3_315,bison,3,315
Z_4_315,bison,4,315
Z_1_336,bison,1,336
Z_2_336,bison,2,336
Z_3_336,bison,3,336
Z_4_336,bison,4,336
