code,AgoLeo,BalObt,BalSpp,OscPse,PseCol,AphFim,CalGra,ChiDis,ColErr,MelPro,OtoHae,BorPra,CanPil,OntHec,OntOrp,OntNuc
bison1_1_161,1,0,0,2,91,0,0,8,34,0,0,3,58,2,1,83
bison1_1_201,0,0,0,0,1,0,0,0,120,0,0,20,60,0,0,30
bison1_1_230,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,1
bison1_2_161,0,0,0,28,21,0,0,8,98,1,0,3,79,4,5,71
bison1_2_195,0,0,0,0,2,0,0,0,86,0,0,1,174,0,2,15
bison1_2_236,0,0,0,0,0,0,0,0,0,0,0,1,271,0,0,1
bison2_1_166,0,0,0,0,10,0,0,1,1,0,0,0,3,0,0,23
bison2_1_201,0,0,1,0,5,0,0,0,10,0,0,2,16,0,0,227
bison2_1_224,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,5
bison2_2_174,0,0,0,0,118,0,1,2,29,0,0,3,85,1,0,81
bison2_2_196,0,0,0,0,2,0,0,0,10,0,0,1,11,0,0,16
bison2_2_224,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,16
bison3_1_174,0,0,0,0,37,0,0,3,4,0,0,2,184,0,0,64
bison3_1_196,0,0,0,0,17,0,0,0,37,0,0,0,343,0,0,53
bison3_1_229,0,0,0,0,0,0,0,0,0,0,0,3,943,0,0,72
bison3_2_174,0,0,0,0,73,0,0,1,30,0,0,16,222,0,1,72
bison3_2_196,0,0,0,0,55,0,0,0,37,0,0,3,346,0,0,47
bison3_2_229,0,0,0,0,0,0,0,0,0,0,0,2,269,0,0,18
cattle1_1_166,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,5
cattle1_1_195,0,0,0,0,10,0,13,0,40,0,0,2,590,8,0,24
cattle1_1_230,0,0,0,0,0,0,0,0,0,0,0,0,716,3,0,8
cattle1_2_166,0,0,0,1,35,0,0,0,0,0,0,0,17,1,0,11
cattle1_2_195,0,0,0,4,54,0,0,0,4,0,0,5,1237,49,0,35
cattle1_2_230,0,0,0,0,0,0,0,0,0,0,0,0,812,1,0,18
cattle2_1_166,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2
cattle2_1_201,0,1,0,0,2,0,0,0,49,0,0,0,77,0,0,290
cattle2_1_224,0,0,0,0,0,1,0,0,0,0,0,0,134,0,0,56
cattle2_2_166,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3
cattle2_2_201,0,0,0,0,8,0,0,0,111,0,0,1,66,0,0,153
cattle2_2_224,0,0,0,0,0,0,0,0,0,0,1,1,86,0,0,47
cattle3_1_176,0,0,0,2,39,0,0,0,254,0,0,9,257,0,0,84
cattle3_1_202,0,0,0,1,4,2,0,0,125,0,1,3,244,0,0,49
cattle3_1_229,0,0,0,0,0,0,0,0,0,0,0,1,236,0,0,11
cattle3_2_176,0,0,0,0,158,0,0,0,275,0,0,19,290,0,0,171
cattle3_2_202,0,0,0,0,18,4,0,0,307,0,0,2,457,0,0,356
cattle3_2_229,0,0,0,0,0,0,0,0,0,0,0,3,446,0,0,39
