code,trt,doy
bison1_1_161,bison,161
bison1_1_201,bison,201
bison1_1_230,bison,230
bison1_2_161,bison,161
bison1_2_195,bison,195
bison1_2_236,bison,236
bison2_1_166,bison,166
bison2_1_201,bison,201
bison2_1_224,bison,224
bison2_2_174,bison,174
bison2_2_196,bison,196
bison2_2_224,bison,224
bison3_1_174,bison,174
bison3_1_196,bison,196
bison3_1_229,bison,229
bison3_2_174,bison,174
bison3_2_196,bison,196
bison3_2_229,bison,229
cattle1_1_166,cattle,166
cattle1_1_195,cattle,195
cattle1_1_230,cattle,230
cattle1_2_166,cattle,166
cattle1_2_195,cattle,195
cattle1_2_230,cattle,230
cattle2_1_166,cattle,166
cattle2_1_201,cattle,201
cattle2_1_224,cattle,224
cattle2_2_166,cattle,166
cattle2_2_201,cattle,201
cattle2_2_224,cattle,224
cattle3_1_176,cattle,176
cattle3_1_202,cattle,202
cattle3_1_229,cattle,229
cattle3_2_176,cattle,176
cattle3_2_202,cattle,202
cattle3_2_229,cattle,229
